iter	Logloss
0	0.672053672
1	0.6526042787
2	0.6350031715
3	0.6189298384
4	0.6036854871
5	0.5896141694
6	0.576849747
7	0.5655630948
8	0.5550791416
9	0.5450752329
10	0.5364155751
11	0.5279321375
12	0.5204200066
13	0.5136741886
14	0.5071769293
15	0.5013901903
16	0.4964895146
17	0.4919252012
18	0.4871417948
19	0.4828089895
20	0.4791231627
21	0.4757304867
22	0.4726497914
23	0.4695984979
24	0.4666903231
25	0.4641198681
26	0.4617994644
27	0.4594296388
28	0.4574038656
29	0.4552312361
30	0.4533845996
31	0.4517992113
32	0.4501692858
33	0.44870514
34	0.447385196
35	0.4461651364
36	0.4449411059
37	0.4438164544
38	0.4427917978
39	0.4418764441
40	0.4407965624
41	0.4398048777
42	0.4389489596
43	0.4381601506
44	0.4375880892
45	0.4368203782
46	0.4361311982
47	0.435509871
48	0.4350009028
49	0.4344328916
50	0.4338062376
51	0.433372881
52	0.4328850512
53	0.4323954593
54	0.4319101812
55	0.4315368491
56	0.4311640489
57	0.4305875364
58	0.4302058438
59	0.4298193349
60	0.4294259394
61	0.4291326159
62	0.428783642
63	0.4284489024
64	0.4281049442
65	0.4278838191
66	0.4275995563
67	0.4273299215
68	0.4271289067
69	0.4268568391
70	0.4265210354
71	0.4262978502
72	0.4261167559
73	0.4259569354
74	0.4257368827
75	0.4254747039
76	0.4251389994
77	0.4247807269
78	0.424601436
79	0.4244074558
80	0.424208677
81	0.4240511524
82	0.4237413077
83	0.4235716966
84	0.4233831016
85	0.4232311521
86	0.4230645334
87	0.4229130162
88	0.4226942804
89	0.4225240411
90	0.422375459
91	0.4222264843
92	0.4220002013
93	0.4217474606
94	0.4215766926
95	0.4214554902
96	0.4212826108
97	0.4210550058
98	0.4208987812
99	0.4207664532
100	0.4205576152
101	0.4203803418
102	0.4202888824
103	0.4200767622
104	0.4199285821
105	0.4197433909
106	0.4195417481
107	0.4193400884
108	0.4191798151
109	0.4190049426
110	0.4188701662
111	0.418762984
112	0.4185604498
113	0.4184572838
114	0.4183089544
115	0.4181457282
116	0.418043784
117	0.4178651452
118	0.4176810631
119	0.4175432342
120	0.4173163809
121	0.4172228678
122	0.4170788353
123	0.4169938132
124	0.4168689364
125	0.4166953564
126	0.416559786
127	0.4164816595
128	0.416389958
129	0.4162345097
130	0.4161234947
