iter	Passed	Remaining
0	6	6111
1	11	5940
2	17	5852
3	23	5806
4	28	5765
5	34	5779
6	40	5754
7	46	5738
8	51	5717
9	57	5718
10	63	5674
11	68	5672
12	74	5635
13	79	5616
14	85	5625
15	91	5631
16	97	5638
17	103	5647
18	109	5657
19	115	5661
20	121	5663
21	127	5664
22	133	5667
23	139	5661
24	144	5651
25	150	5652
26	156	5649
27	163	5675
28	170	5692
29	176	5694
30	182	5694
31	188	5694
32	194	5693
33	199	5681
34	206	5681
35	211	5676
36	217	5671
37	223	5664
38	229	5661
39	235	5658
40	241	5658
41	247	5651
42	253	5643
43	259	5634
44	265	5625
45	270	5614
46	276	5606
47	282	5600
48	288	5592
49	293	5581
50	300	5582
51	306	5585
52	325	5813
53	331	5803
54	337	5792
55	342	5776
56	348	5767
57	354	5760
58	360	5751
59	366	5746
60	372	5741
61	378	5728
62	384	5714
63	390	5705
64	395	5690
65	401	5678
66	406	5666
67	412	5657
68	419	5662
69	435	5783
70	442	5787
71	449	5797
72	455	5784
73	462	5785
74	468	5775
75	475	5783
76	483	5792
77	488	5780
78	495	5772
79	501	5762
80	506	5751
81	512	5739
82	518	5728
83	524	5721
84	530	5711
85	536	5702
86	542	5694
87	548	5686
88	554	5676
89	560	5666
90	566	5658
91	572	5646
92	578	5637
93	583	5627
94	589	5616
95	595	5605
96	601	5598
97	607	5587
98	613	5579
99	619	5571
100	625	5563
101	631	5556
102	637	5549
103	643	5541
104	649	5534
105	655	5527
106	661	5519
107	667	5512
108	673	5503
109	679	5499
110	685	5491
111	691	5484
112	698	5480
113	704	5474
114	710	5465
115	715	5456
116	721	5445
117	727	5439
118	733	5432
119	739	5422
120	745	5418
121	752	5413
122	758	5406
123	763	5397
124	769	5387
125	775	5378
126	781	5370
127	787	5365
128	793	5356
129	799	5350
130	805	5342
131	811	5334
132	817	5327
133	823	5320
134	829	5311
135	835	5304
136	841	5297
137	848	5297
138	855	5296
139	860	5286
140	866	5276
141	871	5266
142	877	5257
143	882	5247
144	888	5237
145	894	5229
146	899	5220
147	905	5212
148	911	5203
149	916	5193
150	922	5184
151	927	5176
152	936	5182
153	943	5182
154	949	5174
155	954	5166
156	960	5159
157	966	5152
158	972	5144
159	978	5135
160	983	5125
161	989	5117
162	994	5108
163	1000	5100
164	1005	5090
165	1011	5083
166	1017	5075
167	1023	5067
168	1028	5058
169	1034	5051
170	1040	5043
171	1045	5035
172	1051	5026
173	1057	5019
174	1063	5013
175	1068	5004
176	1074	4995
177	1080	4988
178	1085	4979
179	1091	4971
180	1097	4963
181	1102	4955
182	1108	4947
183	1113	4940
184	1120	4934
185	1125	4927
186	1131	4920
187	1137	4913
188	1143	4908
189	1149	4901
190	1155	4895
191	1161	4887
192	1167	4881
193	1173	4874
194	1179	4867
195	1185	4861
196	1191	4855
197	1198	4852
198	1203	4845
199	1209	4837
200	1216	4834
201	1222	4830
202	1229	4825
203	1235	4819
204	1241	4814
205	1247	4808
206	1253	4803
207	1259	4797
208	1265	4790
209	1271	4784
210	1277	4778
